GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,at,ch,dt,ebit,fincf,ivncf,ni,oancf,tfva,costat
001076,20131231,2013,INDL,C,D,STD,USD,1827.1760,231.0910,142.704,221.9590,-119.9260,-86.9540,120.6660,308.4370,0.0000,A
001076,20141231,2014,INDL,C,D,STD,USD,2456.8440,3.5490,606.082,176.0000,456.9440,-635.5240,78.2330,-48.9620,0.0000,A
001076,20151231,2015,INDL,C,D,STD,USD,2658.8750,14.9420,610.45,244.1170,-46.5180,-108.8500,135.7090,166.7610,0.0000,A
001076,20161231,2016,INDL,C,D,STD,USD,2615.7360,308.5610,497.829,260.1310,-151.8710,-20.0810,139.2830,465.4440,0.0000,A
001078,20101231,2010,INDL,C,D,STD,USD,59462.2660,3648.3710,14568.487,8038.7810,-1087.7410,-12188.3150,4626.1720,8735.9810,346.0000,A
001078,20111231,2011,INDL,C,D,STD,USD,60276.8930,6812.8200,13066.718,8996.4480,-6023.4550,260.8320,4728.4490,8970.0770,971.0000,A
001078,20121231,2012,INDL,C,D,STD,USD,67234.9440,10802.1630,18394.125,9783.5150,716.0930,-6081.2880,5962.9200,9314.4010,381.0000,A
001078,20131231,2013,INDL,C,D,STD,USD,42953.0000,3475.0000,3397,2674.0000,-6696.0000,-3929.0000,2576.0000,3324.0000,197.0000,A
001078,20141231,2014,INDL,C,D,STD,USD,41275.0000,4063.0000,3463,2927.0000,-2742.0000,-202.0000,2284.0000,3675.0000,373.0000,A
001078,20151231,2015,INDL,C,D,STD,USD,41247.0000,5001.0000,5874,3372.0000,-2236.0000,406.0000,4423.0000,2966.0000,4075.0000,A
001078,20161231,2016,INDL,C,D,STD,USD,52666.0000,18620.0000,20684,3622.0000,11147.0000,-248.0000,1400.0000,3203.0000,2960.0000,A
001082,20110430,2010,INDL,C,D,STD,USD,26.2280,2.1250,6.034,-2.7140,0.0200,1.4810,-2.3190,-1.2990,1.0140,I
001094,20100630,2010,INDL,C,D,STD,USD,231.8510,30.8500,0.55,14.0990,-2.4410,-6.1090,6.5810,-15.4990,0.9420,A
001094,20110630,2011,INDL,C,D,STD,USD,311.6650,28.6640,54.997,17.6100,49.9740,-69.2000,8.9680,14.0380,1.9570,A
001094,20120630,2012,INDL,C,D,STD,USD,299.2800,24.8620,45.765,27.0110,-15.2950,-0.0420,16.9810,13.2690,2.4700,A
001094,20130630,2013,INDL,C,D,STD,USD,323.4300,33.2310,32.069,37.6600,-14.3060,-1.4510,22.3280,23.7310,3.0140,A
001094,20140630,2014,INDL,C,D,STD,USD,467.9840,42.8970,105.501,47.5160,70.5330,-86.6330,29.0000,25.0560,2.2050,A
001094,20150630,2015,INDL,C,D,STD,USD,489.7740,34.0200,110.157,53.8270,-8.2450,-4.9010,33.4830,8.3430,9.9110,A
001094,20160630,2016,INDL,C,D,STD,USD,540.7780,66.8280,118.789,56.9540,10.8550,-9.8940,34.7660,31.8310,7.2900,A
001094,20170630,2017,INDL,C,D,STD,USD,1038.1850,55.6800,353.666,44.4260,220.1620,-276.3780,11.3760,44.5670,8.3130,A
001104,20101231,2010,INDL,C,D,STD,USD,49.5810,6.6010,13.522,2.9800,2.3080,-1.0540,2.5730,-1.1350,,A
001104,20111231,2011,INDL,C,D,STD,USD,55.2220,7.8530,17.568,4.4090,3.4280,-4.1700,2.8110,2.0630,,A
001104,20121231,2012,INDL,C,D,STD,USD,67.8280,9.7500,24.32,5.3610,5.3950,-2.2880,3.5490,-1.2730,,A
001104,20131231,2013,INDL,C,D,STD,USD,68.0790,11.6440,22.912,5.8790,-1.6070,-2.9670,4.0030,6.4750,,A
001104,20141231,2014,INDL,C,D,STD,USD,79.3080,2.2860,24.147,7.6940,1.3100,-15.1930,4.7890,4.6490,,A
001104,20151231,2015,INDL,C,D,STD,USD,81.4210,2.4260,25.913,7.7470,1.1360,-1.9140,4.7940,1.0800,,A
001104,20161231,2016,INDL,C,D,STD,USD,92.0660,5.9110,32.936,8.4430,3.4710,-8.8100,5.8510,8.8570,,A
001117,20101231,2010,INDL,C,D,STD,USD,34.7920,5.0500,2,-0.6280,2.1070,-1.6140,-0.6600,-3.1030,,A
001117,20111231,2011,INDL,C,D,STD,USD,31.8470,2.6930,0,-0.6530,-2.0000,-0.2150,-0.4930,-0.1420,,A
001117,20121231,2012,INDL,C,D,STD,USD,33.9600,6.5810,0,2.8930,0.0230,-0.7390,2.0650,4.6040,,A
001117,20131231,2013,INDL,C,D,STD,USD,34.0230,7.9450,0,1.6410,0.0520,-0.6780,1.1420,1.9900,,A
001117,20141231,2014,INDL,C,D,STD,USD,36.9860,11.3630,0,2.5280,0.1440,-0.6970,1.6230,3.9710,,A
001117,20151231,2015,INDL,C,D,STD,USD,39.4490,4.6690,0,1.4300,0.0920,-3.8500,1.0410,-2.9360,,A
001117,20161231,2016,INDL,C,D,STD,USD,42.5440,10.9100,0,4.2850,-2.6050,-1.8750,2.6890,10.7210,,A
001119,20101231,2010,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20111231,2011,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20121231,2012,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20131231,2013,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20141231,2014,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20151231,2015,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20161231,2016,INDL,C,D,STD,USD,,,,,,,,,,A
001119,20171231,2017,INDL,C,D,STD,USD,,,,,,,,,,A
001121,20101231,2010,INDL,C,D,STD,USD,301.3050,29.0320,0,12.5460,-2.2770,-22.4250,8.6310,36.9280,2.7640,A
001121,20111231,2011,INDL,C,D,STD,USD,378.8400,37.0660,0,32.6100,-2.4040,-45.3770,22.9310,55.8150,2.0640,A
001121,20121231,2012,INDL,C,D,STD,USD,419.5010,47.2390,0,41.8460,-2.6150,-41.7060,27.7910,54.4940,0.4180,A
001121,20131231,2013,INDL,C,D,STD,USD,448.0820,60.7330,0,34.3760,-2.7830,-27.6990,21.6100,43.9760,0.3950,A
001121,20141231,2014,INDL,C,D,STD,USD,340.8140,80.1840,0,6.9530,-3.7110,-23.9710,6.5230,47.1330,0.9360,A
001121,20151231,2015,INDL,C,D,STD,USD,243.2150,91.8770,0,-2.3590,-3.7120,-10.0720,-1.2750,25.4770,0.0000,A
001121,20161231,2016,INDL,C,D,STD,USD,246.8720,87.3420,0,6.0540,-3.7110,-7.7680,2.5130,6.9440,0.1120,A
001161,20101231,2010,INDL,C,D,STD,USD,4964.0000,606.0000,2192,492.0000,484.0000,-1123.0000,471.0000,-412.0000,1669.0000,A
001161,20111231,2011,INDL,C,D,STD,USD,4954.0000,869.0000,2016,495.0000,-6.0000,-113.0000,491.0000,382.0000,1794.0000,A
001161,20121231,2012,INDL,C,D,STD,USD,4000.0000,549.0000,2042,31.0000,37.0000,-19.0000,-1183.0000,-338.0000,1135.0000,A
001161,20131231,2013,INDL,C,D,STD,USD,4337.0000,869.0000,2058,85.0000,13.0000,455.0000,-83.0000,-148.0000,790.0000,A
001161,20141231,2014,INDL,C,D,STD,USD,3767.0000,805.0000,2212,149.0000,46.0000,-12.0000,-403.0000,-98.0000,675.0000,A
001161,20151231,2015,INDL,C,D,STD,USD,3109.0000,785.0000,2262,-319.0000,59.0000,147.0000,-660.0000,-226.0000,785.0000,A
001161,20161231,2016,INDL,C,D,STD,USD,3321.0000,,1435,-130.0000,122.0000,267.0000,-497.0000,90.0000,1264.0000,A
001161,20171231,2017,INDL,C,D,STD,USD,3540.0000,,1325,152.0000,-33.0000,-114.0000,43.0000,68.0000,,A
001166,20101231,2010,INDL,C,D,STD,USD,1611.0120,451.5330,243.498,450.9340,-163.2450,-133.4410,146.8070,344.8400,2.3130,A
001166,20111231,2011,INDL,C,D,STD,USD,2052.6150,506.2700,200.73,348.4660,-101.8860,-90.8560,242.2970,280.9700,0.0000,A
001166,20121231,2012,INDL,C,D,STD,USD,1977.2490,383.0200,24.985,117.5490,-96.9030,-94.7950,9.4270,56.0140,0.1910,A
